"","c.val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"58",1,100,40,40,40,52
"59",1,100,50,40,13.3333333333333,56
"60",1,100,30,20,13.3333333333333,40
"61",1,100,20,0,13.3333333333333,28
"62",1,100,30,20,13.3333333333333,40
"63",1,100,50,20,20,48
"64",1,100,40,30,0,48
"65",1,100,30,10,40,36
"66",1,100,20,10,6.66666666666667,32
"67",1,100,40,20,13.3333333333333,44
"68",1,100,30,40,6.66666666666667,48
"69",1,100,40,30,13.3333333333333,48
"70",1,100,30,30,13.3333333333333,44
"71",1,100,10,40,26.6666666666667,40
"72",1,100,40,40,13.3333333333333,52
"73",1,100,30,30,33.3333333333333,44
"74",1,100,40,40,26.6666666666667,52
"75",1,100,30,10,26.6666666666667,36
"76",1,100,20,20,20,36
"77",1,100,50,20,13.3333333333333,48
"78",1,100,60,10,6.66666666666667,48
"79",1,100,10,30,6.66666666666667,36
"80",1,100,40,30,13.3333333333333,48
"81",1,100,60,20,6.66666666666667,52
"82",1,100,30,20,26.6666666666667,40
"83",1,100,40,20,6.66666666666667,44
"84",1,100,50,10,0,44
"85",1,100,50,40,20,56
"86",1,100,40,10,26.6666666666667,40
"87",1,100,30,10,40,36
"88",1,100,50,0,6.66666666666667,40
"89",1,80,40,40,20,48
"90",1,100,10,10,40,28
"91",1,100,40,30,6.66666666666667,48
"92",1,100,40,0,26.6666666666667,36
"93",1,100,30,20,26.6666666666667,40
"94",1,100,40,10,20,40
"95",1,100,30,40,6.66666666666667,48
"96",1,100,10,20,20,32
"97",1,100,40,30,6.66666666666667,48
"98",1,100,50,30,0,52
"99",1,100,30,20,6.66666666666667,40
"100",1,100,40,20,20,44
"101",3,100,80,30,6.66666666666667,64
"102",3,100,70,40,13.3333333333333,64
"103",3,100,60,40,0,60
"104",3,100,70,50,6.66666666666667,68
"105",3,100,60,40,13.3333333333333,60
"106",3,100,80,50,13.3333333333333,72
"107",3,100,90,20,20,64
"108",3,100,100,50,26.6666666666667,80
"109",3,100,90,40,0,72
"110",3,100,70,30,13.3333333333333,60
"111",3,100,60,40,0,60
"112",3,100,90,30,20,68
"113",3,100,90,50,40,76
"114",3,100,80,50,33.3333333333333,72
"115",3,100,70,50,26.6666666666667,68
"116",3,100,90,40,13.3333333333333,72
"117",3,100,50,60,20,64
"118",3,100,60,40,26.6666666666667,60
"119",3,100,60,50,6.66666666666667,64
"120",3,100,80,50,13.3333333333333,72
"121",3,100,80,60,20,76
"122",3,100,90,10,26.6666666666667,60
"123",3,100,80,60,26.6666666666667,76
"124",3,100,80,40,13.3333333333333,68
"125",3,100,60,60,13.3333333333333,68
"126",3,100,100,40,0,76
"127",3,100,90,20,13.3333333333333,64
"128",3,100,80,40,6.66666666666667,68
"129",3,100,60,30,20,56
"130",3,100,60,50,20,64
"131",3,100,70,30,20,60
"132",3,100,70,40,13.3333333333333,64
"133",3,100,50,50,20,60
"134",3,100,70,20,26.6666666666667,56
"135",3,100,50,60,0,64
"136",3,100,70,30,26.6666666666667,60
"137",3,100,60,40,13.3333333333333,60
"138",3,100,90,50,13.3333333333333,76
"139",3,100,90,30,6.66666666666667,68
"140",3,100,80,30,26.6666666666667,64
"141",3,100,60,50,20,64
"142",3,100,60,50,20,64
"143",3,100,90,50,13.3333333333333,76
"144",3,100,80,40,13.3333333333333,68
"145",3,100,60,40,20,60
"146",3,100,80,50,6.66666666666667,72
"147",3,100,80,40,6.66666666666667,68
"148",3,100,70,40,26.6666666666667,64
"149",3,100,80,50,13.3333333333333,72
"150",3,100,90,40,26.6666666666667,72
"151",3,100,80,40,13.3333333333333,68
"152",3,100,70,60,6.66666666666667,72
"153",3,100,70,50,13.3333333333333,68
"154",3,100,70,60,13.3333333333333,72
"155",3,100,80,70,20,80
"156",3,100,50,50,20,60
"157",3,100,80,50,13.3333333333333,72
"158",3,100,100,40,13.3333333333333,76
"159",3,100,60,50,20,64
"160",3,100,90,30,6.66666666666667,68
"161",3,100,50,20,20,48
"162",3,100,90,40,0,72
"163",3,100,80,30,13.3333333333333,64
"164",3,100,80,40,6.66666666666667,68
"165",3,100,80,50,13.3333333333333,72
"166",3,100,60,30,20,56
"167",3,100,70,20,20,56
"168",3,100,80,40,26.6666666666667,68
"169",3,100,60,40,6.66666666666667,60
"170",3,100,60,50,20,64
"171",3,100,60,40,26.6666666666667,60
"172",3,100,60,40,13.3333333333333,60
"173",3,100,60,50,13.3333333333333,64
"174",3,100,70,30,13.3333333333333,60
"175",3,100,80,40,20,68
"176",3,100,60,40,6.66666666666667,60
"177",3,100,80,50,6.66666666666667,72
"178",3,100,70,60,6.66666666666667,72
"179",3,100,70,50,13.3333333333333,68
"180",3,100,90,10,13.3333333333333,60
"181",3,100,90,50,6.66666666666667,76
"182",3,100,80,30,0,64
"183",3,100,90,40,26.6666666666667,72
"184",3,100,70,30,26.6666666666667,60
"185",3,100,80,30,13.3333333333333,64
"186",3,100,90,30,6.66666666666667,68
"187",3,100,60,40,6.66666666666667,60
"188",3,100,70,30,13.3333333333333,60
"189",3,100,90,60,13.3333333333333,80
"190",3,100,70,60,0,72
"191",3,100,100,40,6.66666666666667,76
"192",3,100,60,40,6.66666666666667,60
"193",3,100,80,60,6.66666666666667,76
"194",3,100,90,40,6.66666666666667,72
"195",3,100,80,40,13.3333333333333,68
"196",3,100,70,50,20,68
"197",3,100,90,30,20,68
"198",3,100,80,40,20,68
"199",3,100,90,40,26.6666666666667,72
"200",3,100,50,40,20,56
"201",5,100,100,40,13.3333333333333,76
"202",5,100,90,60,13.3333333333333,80
"203",5,100,80,50,26.6666666666667,72
"204",5,100,80,40,13.3333333333333,68
"205",5,100,80,60,20,76
"206",5,100,100,40,13.3333333333333,76
"207",5,100,100,60,13.3333333333333,84
"208",5,100,90,40,20,72
"209",5,100,100,40,13.3333333333333,76
"210",5,100,90,50,40,76
"211",5,100,100,70,20,88
"212",5,100,90,60,6.66666666666667,80
"213",5,100,100,50,26.6666666666667,80
"214",5,100,80,70,26.6666666666667,80
"215",5,100,70,70,6.66666666666667,76
"216",5,100,90,60,26.6666666666667,80
"217",5,100,80,60,6.66666666666667,76
"218",5,100,90,60,13.3333333333333,80
"219",5,100,60,60,20,68
"220",5,100,90,30,20,68
"221",5,100,70,50,6.66666666666667,68
"222",5,100,80,50,20,72
"223",5,100,100,60,6.66666666666667,84
"224",5,100,100,50,0,80
"225",5,100,80,50,20,72
"226",5,100,70,50,20,68
"227",5,100,100,50,13.3333333333333,80
"228",5,100,80,50,26.6666666666667,72
"229",5,100,70,70,20,76
"230",5,100,90,60,6.66666666666667,80
"231",5,100,90,70,13.3333333333333,84
"232",5,100,80,60,6.66666666666667,76
"233",5,100,90,50,26.6666666666667,76
"234",5,100,80,60,13.3333333333333,76
"235",5,100,100,70,13.3333333333333,88
"236",5,100,80,60,40,76
"237",5,100,90,50,13.3333333333333,76
"238",5,100,70,60,6.66666666666667,72
"239",5,100,80,60,6.66666666666667,76
"240",5,100,100,50,13.3333333333333,80
"241",5,100,70,30,33.3333333333333,60
"242",5,100,100,40,26.6666666666667,76
"243",5,100,90,50,26.6666666666667,76
"244",5,100,80,60,6.66666666666667,76
"245",5,100,100,60,13.3333333333333,84
"246",5,100,90,50,6.66666666666667,76
"247",5,100,90,20,13.3333333333333,64
"248",5,100,80,30,26.6666666666667,64
"249",5,100,80,40,6.66666666666667,68
"250",5,100,80,40,13.3333333333333,68
"251",5,100,80,30,13.3333333333333,64
"252",5,100,70,50,20,68
"253",5,100,80,50,20,72
"254",5,100,90,60,13.3333333333333,80
"255",5,100,90,40,6.66666666666667,72
"256",5,100,80,50,0,72
"257",5,100,90,50,46.6666666666667,76
"258",5,100,70,50,6.66666666666667,68
"259",5,100,70,50,13.3333333333333,68
"260",5,100,90,70,20,84
"261",5,100,70,60,6.66666666666667,72
"262",5,100,70,70,6.66666666666667,76
"263",5,100,90,50,13.3333333333333,76
"264",5,100,70,60,20,72
"265",5,100,80,60,6.66666666666667,76
"266",5,100,70,60,33.3333333333333,72
"267",5,100,90,70,6.66666666666667,84
"268",5,100,70,40,20,64
"269",5,100,100,50,13.3333333333333,80
"270",5,100,50,70,13.3333333333333,68
"271",5,100,90,60,26.6666666666667,80
"272",5,100,90,50,6.66666666666667,76
"273",5,100,100,40,13.3333333333333,76
"274",5,100,90,60,6.66666666666667,80
"275",5,100,90,50,6.66666666666667,76
"276",5,100,90,60,20,80
"277",5,100,90,50,13.3333333333333,76
"278",5,100,80,50,13.3333333333333,72
"279",5,100,70,50,6.66666666666667,68
"280",5,100,80,50,26.6666666666667,72
"281",5,100,100,50,26.6666666666667,80
"282",5,100,80,50,0,72
"283",5,100,80,50,6.66666666666667,72
"284",5,100,80,50,20,72
"285",5,100,70,50,6.66666666666667,68
"286",5,100,90,60,13.3333333333333,80
"287",5,100,100,60,20,84
"288",5,100,80,60,26.6666666666667,76
"289",5,100,70,50,33.3333333333333,68
"290",5,100,90,40,13.3333333333333,72
"291",5,100,90,70,13.3333333333333,84
"292",5,100,80,50,6.66666666666667,72
"293",5,100,70,70,20,76
"294",5,100,60,50,0,64
"295",5,100,70,50,20,68
"296",5,100,70,50,6.66666666666667,68
"297",5,100,70,50,0,68
"298",5,100,90,50,13.3333333333333,76
"299",5,100,80,50,6.66666666666667,72
"300",5,100,100,70,20,88
