"","c.val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"279",5,100,70,50,0,68
"280",5,100,70,30,0,60
"281",5,100,90,60,0,80
"282",5,100,40,70,0,64
"283",5,100,50,40,0,56
"284",5,100,80,50,0,72
"285",5,100,70,50,0,68
"286",5,100,90,80,0,88
"287",5,100,80,70,0,80
"288",5,100,90,50,0,76
"289",5,100,40,60,0,60
"290",5,100,70,60,0,72
"291",5,100,70,50,0,68
"292",5,100,50,60,0,64
"293",5,100,80,60,0,76
"294",5,100,60,60,0,68
"295",5,100,100,60,0,84
"296",5,100,90,40,0,72
"297",5,100,60,60,0,68
"298",5,100,80,80,0,84
"299",5,100,70,50,0,68
"300",5,100,80,70,0,80
