"","wbc_num","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"117",6,100,70,33.3333333333333,15.7894736842105,66.6666666666667
"118",6,100,50,33.3333333333333,5.26315789473684,57.1428571428571
"119",6,100,70,33.3333333333333,10.5263157894737,66.6666666666667
"120",6,100,100,33.3333333333333,0,80.9523809523809
"121",6,100,40,50,5.26315789473684,57.1428571428571
"122",6,100,100,33.3333333333333,15.7894736842105,80.9523809523809
"123",6,100,80,0,10.5263157894737,61.9047619047619
"124",6,100,50,50,5.26315789473684,61.9047619047619
"125",6,100,50,16.6666666666667,5.26315789473684,52.3809523809524
"126",6,100,50,50,10.5263157894737,61.9047619047619
"127",6,100,80,16.6666666666667,21.0526315789474,66.6666666666667
"128",6,100,60,50,15.7894736842105,66.6666666666667
"129",6,100,90,33.3333333333333,15.7894736842105,76.1904761904762
"130",6,100,50,50,5.26315789473684,61.9047619047619
"131",6,100,70,50,15.7894736842105,71.4285714285714
"132",6,100,80,33.3333333333333,15.7894736842105,71.4285714285714
"133",6,100,90,50,31.5789473684211,80.9523809523809
"134",6,100,80,33.3333333333333,15.7894736842105,71.4285714285714
"135",6,100,90,50,10.5263157894737,80.9523809523809
"136",6,100,80,0,26.3157894736842,61.9047619047619
"137",6,100,70,16.6666666666667,10.5263157894737,61.9047619047619
"138",6,100,90,33.3333333333333,10.5263157894737,76.1904761904762
"139",6,100,80,50,15.7894736842105,76.1904761904762
"140",6,100,60,50,15.7894736842105,66.6666666666667
"141",6,100,100,0,0,71.4285714285714
"142",6,100,50,33.3333333333333,10.5263157894737,57.1428571428571
"143",6,100,90,33.3333333333333,5.26315789473684,76.1904761904762
"144",6,100,70,33.3333333333333,21.0526315789474,66.6666666666667
"145",6,100,60,33.3333333333333,21.0526315789474,61.9047619047619
"146",6,100,70,16.6666666666667,5.26315789473684,61.9047619047619
"147",6,100,100,33.3333333333333,10.5263157894737,80.9523809523809
"148",6,100,90,16.6666666666667,5.26315789473684,71.4285714285714
"149",6,100,80,50,10.5263157894737,76.1904761904762
"150",6,100,90,16.6666666666667,21.0526315789474,71.4285714285714
"151",6,100,90,33.3333333333333,5.26315789473684,76.1904761904762
"152",6,100,70,50,10.5263157894737,71.4285714285714
"153",6,100,70,33.3333333333333,15.7894736842105,66.6666666666667
"154",6,100,60,33.3333333333333,15.7894736842105,61.9047619047619
"155",6,100,100,50,10.5263157894737,85.7142857142857
"156",6,100,90,50,5.26315789473684,80.9523809523809
"157",6,100,70,50,31.5789473684211,71.4285714285714
"158",6,100,80,0,10.5263157894737,61.9047619047619
"159",6,100,80,66.6666666666667,15.7894736842105,80.9523809523809
"160",6,100,80,50,10.5263157894737,76.1904761904762
"161",6,100,90,33.3333333333333,5.26315789473684,76.1904761904762
"162",6,100,100,16.6666666666667,21.0526315789474,76.1904761904762
