"","wbc_num","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"58",2,100,60,100,0,76.4705882352941
"59",2,80,60,100,0,70.5882352941177
"60",2,80,50,100,4.34782608695652,64.7058823529412
"61",2,60,0,100,0,29.4117647058824
"62",2,40,30,100,0,41.1764705882353
"63",2,60,0,100,0,29.4117647058824
"64",2,40,0,100,0,23.5294117647059
"65",2,40,10,100,0,29.4117647058824
"66",2,80,90,100,0,88.2352941176471
"67",2,100,60,100,0,76.4705882352941
"68",2,40,0,100,0,23.5294117647059
"69",2,80,70,100,0,76.4705882352941
"70",2,80,70,100,0,76.4705882352941
"71",2,80,30,100,0,52.9411764705882
"72",2,40,30,100,0,41.1764705882353
"73",2,80,10,100,0,41.1764705882353
"74",2,40,30,100,0,41.1764705882353
"75",2,80,50,100,0,64.7058823529412
"76",2,20,0,100,0,17.6470588235294
"77",2,80,40,100,0,58.8235294117647
"78",2,60,10,100,0,35.2941176470588
"79",2,40,20,100,0,35.2941176470588
"80",2,60,50,100,0,58.8235294117647
"81",2,80,30,100,0,52.9411764705882
"82",2,60,60,100,0,64.7058823529412
"83",2,100,80,100,0,88.2352941176471
"84",2,80,40,100,0,58.8235294117647
"85",2,100,80,100,4.34782608695652,88.2352941176471
"86",2,100,60,100,0,76.4705882352941
"87",2,80,50,100,0,64.7058823529412
"88",2,40,10,100,0,29.4117647058824
"89",2,60,20,100,0,41.1764705882353
"90",2,80,50,100,0,64.7058823529412
"91",2,60,30,100,0,47.0588235294118
"92",2,40,10,100,0,29.4117647058824
"93",2,60,30,100,0,47.0588235294118
"94",2,40,0,100,0,23.5294117647059
"95",2,40,20,100,0,35.2941176470588
"96",2,60,40,100,0,52.9411764705882
"97",2,40,60,100,0,58.8235294117647
"98",2,100,60,100,4.34782608695652,76.4705882352941
"99",2,60,30,100,0,47.0588235294118
"100",2,80,40,100,0,58.8235294117647
"101",6,100,10,50,0,42.8571428571429
"102",6,100,10,50,0,42.8571428571429
"103",6,100,30,83.3333333333333,0,61.9047619047619
"104",6,100,50,66.6666666666667,0,66.6666666666667
"105",6,100,10,50,0,42.8571428571429
"106",6,100,10,66.6666666666667,0,47.6190476190476
"107",6,100,90,83.3333333333333,10.5263157894737,90.4761904761905
"108",6,100,30,50,0,52.3809523809524
"109",6,100,0,50,0,38.0952380952381
"110",6,100,80,50,0,76.1904761904762
"111",6,100,0,50,0,38.0952380952381
"112",6,100,70,66.6666666666667,0,76.1904761904762
"113",6,100,30,66.6666666666667,0,57.1428571428571
"114",6,100,60,66.6666666666667,0,71.4285714285714
"115",6,100,10,50,0,42.8571428571429
"116",6,100,50,66.6666666666667,0,66.6666666666667
"117",6,100,30,83.3333333333333,0,61.9047619047619
"118",6,100,40,66.6666666666667,0,61.9047619047619
"119",6,100,30,50,0,52.3809523809524
"120",6,100,80,83.3333333333333,5.26315789473684,85.7142857142857
"121",6,100,30,33.3333333333333,0,47.6190476190476
"122",6,100,30,83.3333333333333,0,61.9047619047619
"123",6,100,60,50,0,66.6666666666667
"124",6,100,10,50,0,42.8571428571429
"125",6,100,20,66.6666666666667,0,52.3809523809524
"126",6,100,30,83.3333333333333,0,61.9047619047619
"127",6,100,20,66.6666666666667,0,52.3809523809524
"128",6,100,10,50,0,42.8571428571429
"129",6,100,0,66.6666666666667,0,42.8571428571429
"130",6,100,40,83.3333333333333,0,66.6666666666667
"131",6,100,20,66.6666666666667,0,52.3809523809524
"132",6,100,10,66.6666666666667,0,47.6190476190476
"133",6,100,0,50,0,38.0952380952381
"134",6,100,10,66.6666666666667,0,47.6190476190476
"135",6,100,0,66.6666666666667,0,42.8571428571429
"136",6,100,40,66.6666666666667,0,61.9047619047619
"137",6,100,40,50,0,57.1428571428571
"138",6,100,10,50,0,42.8571428571429
"139",6,100,50,66.6666666666667,0,66.6666666666667
"140",6,100,50,66.6666666666667,0,66.6666666666667
"141",6,100,80,83.3333333333333,15.7894736842105,85.7142857142857
"142",6,100,50,66.6666666666667,0,66.6666666666667
"143",6,100,20,50,0,47.6190476190476
"144",6,100,10,50,0,42.8571428571429
"145",6,100,40,83.3333333333333,0,66.6666666666667
"146",6,100,40,50,0,57.1428571428571
"147",6,100,40,66.6666666666667,0,61.9047619047619
"148",6,100,10,83.3333333333333,0,52.3809523809524
"149",6,100,40,50,0,57.1428571428571
"150",6,100,0,50,0,38.0952380952381
"151",6,100,30,83.3333333333333,0,61.9047619047619
"152",6,100,20,66.6666666666667,0,52.3809523809524
"153",6,100,30,66.6666666666667,0,57.1428571428571
