"","cor_val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"224",0.5,100,90,60,6.66666666666667,80
"225",0.5,100,80,30,13.3333333333333,64
"226",0.5,100,60,40,26.6666666666667,60
"227",0.5,100,50,70,0,68
"228",0.5,100,90,30,6.66666666666667,68
"229",0.5,100,60,50,13.3333333333333,64
"230",0.5,100,90,50,13.3333333333333,76
"231",0.5,100,100,50,6.66666666666667,80
"232",0.5,100,80,20,13.3333333333333,60
"233",0.5,100,70,40,20,64
"234",0.5,100,90,50,20,76
"235",0.5,100,70,50,13.3333333333333,68
"236",0.5,100,90,60,13.3333333333333,80
"237",0.5,100,80,60,6.66666666666667,76
"238",0.5,100,70,30,20,60
"239",0.5,100,90,30,20,68
"240",0.5,100,90,40,40,72
"241",0.5,100,90,40,13.3333333333333,72
"242",0.5,100,60,50,26.6666666666667,64
"243",0.5,100,70,60,20,72
"244",0.5,100,80,30,33.3333333333333,64
"245",0.5,100,90,30,26.6666666666667,68
"246",0.5,100,50,30,26.6666666666667,52
"247",0.5,100,70,30,13.3333333333333,60
"248",0.5,100,70,50,13.3333333333333,68
"249",0.5,100,100,30,20,72
"250",0.5,100,70,40,13.3333333333333,64
"251",0.5,100,60,40,20,60
"252",0.5,100,70,40,6.66666666666667,64
"253",0.5,100,70,50,13.3333333333333,68
"254",0.5,100,70,40,13.3333333333333,64
"255",0.5,100,60,40,13.3333333333333,60
"256",0.5,100,80,50,13.3333333333333,72
"257",0.5,100,100,40,26.6666666666667,76
"258",0.5,100,90,40,20,72
"259",0.5,100,80,40,26.6666666666667,68
"260",0.5,100,80,40,13.3333333333333,68
"261",0.5,100,70,60,33.3333333333333,72
"262",0.5,100,80,60,26.6666666666667,76
"263",0.5,100,70,50,6.66666666666667,68
"264",0.5,100,90,40,13.3333333333333,72
"265",0.5,100,90,40,26.6666666666667,72
"266",0.5,100,100,30,0,72
"267",0.5,100,80,50,26.6666666666667,72
"268",0.5,100,90,40,6.66666666666667,72
"269",0.5,100,50,30,13.3333333333333,52
"270",0.5,100,50,40,0,56
"271",0.5,100,60,40,0,60
"272",0.5,100,90,50,0,76
"273",0.5,100,70,60,20,72
"274",0.5,100,90,50,20,76
"275",0.5,100,80,30,26.6666666666667,64
"276",0.5,100,70,50,6.66666666666667,68
"277",0.5,100,40,40,6.66666666666667,52
"278",0.5,100,80,50,33.3333333333333,72
"279",0.5,100,70,30,33.3333333333333,60
"280",0.5,100,70,50,26.6666666666667,68
"281",0.5,100,90,60,33.3333333333333,80
"282",0.5,100,80,10,40,56
"283",0.5,100,90,20,13.3333333333333,64
"284",0.5,100,80,50,20,72
"285",0.5,100,60,50,13.3333333333333,64
"286",0.5,100,90,70,13.3333333333333,84
"287",0.5,100,80,60,13.3333333333333,76
"288",0.5,100,80,50,6.66666666666667,72
"289",0.5,100,40,30,20,48
"290",0.5,100,80,30,13.3333333333333,64
"291",0.5,100,90,50,13.3333333333333,76
"292",0.5,100,90,40,33.3333333333333,72
"293",0.5,100,70,30,20,60
"294",0.5,100,80,50,20,72
"295",0.5,100,50,50,33.3333333333333,60
"296",0.5,100,70,40,0,64
"297",0.5,100,70,30,0,60
"298",0.5,100,90,40,13.3333333333333,72
"299",0.5,100,70,50,13.3333333333333,68
"300",0.5,100,40,50,0,56
"301",0.7,100,70,60,6.66666666666667,72
"302",0.7,100,100,60,13.3333333333333,84
"303",0.7,100,100,50,13.3333333333333,80
"304",0.7,100,70,50,20,68
"305",0.7,100,50,40,20,56
"306",0.7,100,80,40,26.6666666666667,68
"307",0.7,100,80,40,20,68
"308",0.7,100,100,70,13.3333333333333,88
"309",0.7,100,80,50,6.66666666666667,72
"310",0.7,100,70,60,20,72
"311",0.7,100,70,40,26.6666666666667,64
"312",0.7,100,100,30,26.6666666666667,72
"313",0.7,100,90,50,6.66666666666667,76
"314",0.7,100,70,30,13.3333333333333,60
"315",0.7,100,70,40,13.3333333333333,64
"316",0.7,100,60,40,6.66666666666667,60
"317",0.7,100,90,20,6.66666666666667,64
"318",0.7,100,80,40,13.3333333333333,68
"319",0.7,100,70,40,26.6666666666667,64
"320",0.7,100,90,40,6.66666666666667,72
"321",0.7,100,70,70,20,76
"322",0.7,100,70,60,13.3333333333333,72
"323",0.7,100,100,20,13.3333333333333,68
"324",0.7,100,60,50,6.66666666666667,64
"325",0.7,100,80,40,6.66666666666667,68
"326",0.7,100,70,50,13.3333333333333,68
"327",0.7,100,90,30,13.3333333333333,68
"328",0.7,100,70,40,13.3333333333333,64
"329",0.7,100,80,60,13.3333333333333,76
"330",0.7,100,70,50,13.3333333333333,68
"331",0.7,100,80,50,13.3333333333333,72
"332",0.7,100,80,30,6.66666666666667,64
"333",0.7,100,90,60,20,80
"334",0.7,100,90,30,26.6666666666667,68
"335",0.7,100,90,10,26.6666666666667,60
"336",0.7,100,90,40,13.3333333333333,72
"337",0.7,100,80,50,6.66666666666667,72
"338",0.7,100,70,40,33.3333333333333,64
"339",0.7,100,90,40,13.3333333333333,72
"340",0.7,100,90,50,0,76
"341",0.7,100,80,30,26.6666666666667,64
"342",0.7,100,90,50,20,76
"343",0.7,100,90,40,13.3333333333333,72
"344",0.7,100,90,30,20,68
"345",0.7,100,80,60,6.66666666666667,76
