"","cor_val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"239",0.5,100,40,20,0,44
"240",0.5,100,0,20,0,28
"241",0.5,100,10,20,0,32
"242",0.5,100,60,50,0,64
"243",0.5,100,0,10,0,24
"244",0.5,100,20,10,0,32
"245",0.5,100,0,20,0,28
"246",0.5,100,0,40,0,36
"247",0.5,100,30,40,0,48
"248",0.5,100,30,20,0,40
"249",0.5,100,70,60,0,72
"250",0.5,100,0,40,0,36
"251",0.5,100,40,30,0,48
"252",0.5,100,30,40,0,48
"253",0.5,100,30,40,0,48
"254",0.5,100,70,50,0,68
"255",0.5,100,40,40,0,52
"256",0.5,100,10,30,0,36
"257",0.5,100,50,40,0,56
"258",0.5,100,40,40,0,52
"259",0.5,100,50,50,0,60
"260",0.5,100,60,50,0,64
"261",0.5,100,10,20,0,32
"262",0.5,100,0,30,0,32
"263",0.5,100,20,40,0,44
"264",0.5,100,60,60,6.66666666666667,68
"265",0.5,100,30,20,0,40
"266",0.5,100,10,40,0,40
"267",0.5,100,80,70,0,80
"268",0.5,100,0,0,0,20
"269",0.5,100,0,20,0,28
"270",0.5,100,20,30,0,40
"271",0.5,100,0,10,0,24
"272",0.5,100,30,60,0,56
"273",0.5,100,20,50,0,48
"274",0.5,100,0,30,0,32
"275",0.5,100,30,30,0,44
"276",0.5,100,10,60,0,48
"277",0.5,100,40,40,0,52
"278",0.5,100,50,40,0,56
"279",0.5,100,40,60,0,60
"280",0.5,100,60,60,0,68
"281",0.5,100,20,40,0,44
"282",0.5,100,50,60,0,64
"283",0.5,100,0,20,0,28
"284",0.5,100,30,20,0,40
"285",0.5,100,20,50,0,48
"286",0.5,100,70,40,0,64
"287",0.5,100,0,10,0,24
"288",0.5,100,20,30,0,40
"289",0.5,100,0,10,0,24
"290",0.5,100,10,40,0,40
"291",0.5,100,30,40,0,48
"292",0.5,100,0,30,0,32
"293",0.5,100,50,20,0,48
"294",0.5,100,20,20,0,36
"295",0.5,100,10,30,0,36
"296",0.5,100,20,40,0,44
"297",0.5,100,20,20,0,36
"298",0.5,100,40,40,0,52
"299",0.5,100,20,30,0,40
"300",0.5,100,40,60,0,60
"301",0.7,100,50,30,0,52
"302",0.7,100,70,60,0,72
"303",0.7,100,10,20,0,32
"304",0.7,100,50,40,0,56
"305",0.7,100,20,20,0,36
"306",0.7,100,40,30,0,48
"307",0.7,100,10,40,0,40
"308",0.7,100,30,20,0,40
"309",0.7,100,0,10,0,24
"310",0.7,100,10,10,0,28
"311",0.7,100,40,40,0,52
"312",0.7,100,30,50,0,52
"313",0.7,100,50,50,0,60
"314",0.7,100,0,20,0,28
"315",0.7,100,0,10,0,24
"316",0.7,100,40,40,0,52
"317",0.7,100,0,20,0,28
"318",0.7,100,0,20,0,28
"319",0.7,100,40,50,0,56
"320",0.7,100,80,40,0,68
"321",0.7,100,30,50,0,52
"322",0.7,100,30,40,0,48
"323",0.7,100,70,50,0,68
"324",0.7,100,0,0,0,20
"325",0.7,100,10,20,0,32
"326",0.7,100,20,20,0,36
"327",0.7,100,40,80,0,68
"328",0.7,100,40,50,0,56
"329",0.7,100,50,60,0,64
"330",0.7,100,40,40,0,52
"331",0.7,100,50,60,0,64
"332",0.7,100,20,50,0,48
"333",0.7,100,0,40,0,36
"334",0.7,100,50,40,0,56
"335",0.7,100,20,20,0,36
"336",0.7,100,20,20,0,36
"337",0.7,100,60,50,0,64
"338",0.7,100,10,60,0,48
"339",0.7,100,50,30,6.66666666666667,52
"340",0.7,100,60,40,0,60
"341",0.7,100,10,20,0,32
"342",0.7,100,0,20,0,28
"343",0.7,100,30,30,0,44
"344",0.7,100,20,30,0,40
"345",0.7,100,30,60,0,56
"346",0.7,100,30,50,0,52
"347",0.7,100,40,40,0,52
"348",0.7,100,0,30,0,32
"349",0.7,100,70,50,0,68
"350",0.7,100,60,50,0,64
"351",0.7,100,10,40,0,40
"352",0.7,100,70,70,0,76
"353",0.7,100,40,50,0,56
"354",0.7,100,0,10,0,24
"355",0.7,100,0,20,0,28
"356",0.7,100,20,20,0,36
"357",0.7,100,40,30,0,48
"358",0.7,100,60,40,0,60
"359",0.7,100,20,50,0,48
"360",0.7,100,0,30,0,32
"361",0.7,100,70,60,0,72
"362",0.7,100,40,40,0,52
"363",0.7,100,50,40,0,56
"364",0.7,100,20,60,0,52
"365",0.7,100,50,30,0,52
"366",0.7,100,40,40,0,52
"367",0.7,100,0,10,0,24
"368",0.7,100,70,60,0,72
"369",0.7,100,0,30,0,32
"370",0.7,100,10,30,0,36
"371",0.7,100,10,30,0,36
"372",0.7,100,20,40,0,44
"373",0.7,100,30,0,0,32
