"","wai_vec","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"50",2,100,100,10,17.3913043478261,47.0588235294118
"51",2,100,0,30,4.34782608695652,47.0588235294118
"52",2,100,100,40,13.0434782608696,64.7058823529412
"53",2,100,50,60,21.7391304347826,70.5882352941177
"54",2,100,100,70,21.7391304347826,82.3529411764706
"55",2,100,50,30,17.3913043478261,52.9411764705882
"56",2,100,50,60,21.7391304347826,70.5882352941177
"57",2,100,50,50,17.3913043478261,64.7058823529412
"58",2,100,100,20,26.0869565217391,52.9411764705882
"59",2,100,100,40,13.0434782608696,64.7058823529412
"60",2,100,50,50,4.34782608695652,64.7058823529412
"61",2,100,50,50,30.4347826086957,64.7058823529412
"62",2,100,100,40,8.69565217391304,64.7058823529412
"63",2,100,100,60,21.7391304347826,76.4705882352941
"64",2,100,100,40,8.69565217391304,64.7058823529412
"65",2,100,50,30,13.0434782608696,52.9411764705882
"66",2,100,100,40,17.3913043478261,64.7058823529412
"67",2,100,100,70,26.0869565217391,82.3529411764706
"68",2,100,100,40,8.69565217391304,64.7058823529412
"69",2,100,50,50,13.0434782608696,64.7058823529412
"70",2,100,50,40,34.7826086956522,58.8235294117647
"71",2,100,100,40,21.7391304347826,64.7058823529412
"72",2,100,100,40,13.0434782608696,64.7058823529412
"73",2,100,100,60,8.69565217391304,76.4705882352941
"74",2,100,50,40,13.0434782608696,58.8235294117647
"75",2,100,100,20,34.7826086956522,52.9411764705882
"76",2,100,100,50,21.7391304347826,70.5882352941177
"77",2,100,100,40,17.3913043478261,64.7058823529412
"78",2,100,50,40,13.0434782608696,58.8235294117647
"79",2,100,100,20,13.0434782608696,52.9411764705882
"80",2,100,50,40,34.7826086956522,58.8235294117647
"81",2,100,100,40,26.0869565217391,64.7058823529412
"82",2,100,100,20,17.3913043478261,52.9411764705882
"83",2,100,100,40,30.4347826086957,64.7058823529412
"84",2,100,50,60,21.7391304347826,70.5882352941177
"85",2,100,100,60,26.0869565217391,76.4705882352941
"86",2,100,100,40,30.4347826086957,64.7058823529412
"87",2,100,50,50,13.0434782608696,64.7058823529412
"88",2,100,100,50,8.69565217391304,70.5882352941177
"89",2,100,50,60,17.3913043478261,70.5882352941177
"90",2,100,50,30,8.69565217391304,52.9411764705882
"91",2,100,100,30,21.7391304347826,58.8235294117647
"92",2,100,50,20,4.34782608695652,47.0588235294118
"93",2,100,100,20,13.0434782608696,52.9411764705882
"94",2,100,100,40,13.0434782608696,64.7058823529412
"95",2,100,0,30,21.7391304347826,47.0588235294118
"96",2,100,50,20,0,47.0588235294118
"97",2,100,50,60,17.3913043478261,70.5882352941177
"98",2,100,100,50,26.0869565217391,70.5882352941177
"99",2,100,100,60,17.3913043478261,76.4705882352941
"100",2,100,50,40,21.7391304347826,58.8235294117647
"101",6,100,83.3333333333333,30,36.8421052631579,61.9047619047619
"102",6,100,66.6666666666667,50,0,66.6666666666667
"103",6,100,83.3333333333333,30,5.26315789473684,61.9047619047619
"104",6,100,100,50,10.5263157894737,76.1904761904762
"105",6,100,50,50,21.0526315789474,61.9047619047619
"106",6,100,83.3333333333333,40,15.7894736842105,66.6666666666667
"107",6,100,83.3333333333333,40,10.5263157894737,66.6666666666667
"108",6,100,66.6666666666667,30,10.5263157894737,57.1428571428571
"109",6,100,83.3333333333333,50,15.7894736842105,71.4285714285714
"110",6,100,66.6666666666667,40,10.5263157894737,61.9047619047619
"111",6,100,66.6666666666667,50,26.3157894736842,66.6666666666667
"112",6,100,66.6666666666667,40,10.5263157894737,61.9047619047619
"113",6,100,100,60,10.5263157894737,80.9523809523809
"114",6,100,50,50,5.26315789473684,61.9047619047619
"115",6,100,66.6666666666667,40,15.7894736842105,61.9047619047619
"116",6,100,100,30,15.7894736842105,66.6666666666667
"117",6,100,50,60,15.7894736842105,66.6666666666667
"118",6,100,50,50,10.5263157894737,61.9047619047619
"119",6,100,83.3333333333333,50,5.26315789473684,71.4285714285714
"120",6,100,100,40,15.7894736842105,71.4285714285714
"121",6,100,50,30,0,52.3809523809524
"122",6,100,66.6666666666667,60,15.7894736842105,71.4285714285714
"123",6,100,66.6666666666667,30,10.5263157894737,57.1428571428571
"124",6,100,66.6666666666667,60,10.5263157894737,71.4285714285714
"125",6,100,66.6666666666667,10,5.26315789473684,47.6190476190476
